Waktu,Tegangan (V),Arus (A),Daya (W),Energi (kWh)
2020-06-06 23:11:53,213.90,0.00,0.00,2.32
2020-06-06 23:16:55,214.10,0.00,0.00,2.32
2020-06-06 23:21:56,213.30,0.00,0.00,2.32
2020-06-06 23:26:58,213.70,0.00,0.00,2.32
2020-06-06 23:32:00,212.60,0.00,0.00,2.32
2020-06-06 23:37:02,213.70,0.00,0.00,2.32
2020-06-06 23:42:04,215.80,0.00,0.00,2.32
2020-06-06 23:47:06,213.60,0.00,0.00,2.32
2020-06-06 23:52:07,214.20,0.00,0.00,2.32
2020-06-06 23:57:09,214.60,0.00,0.00,2.32
2020-06-07 00:02:11,214.20,0.00,0.00,2.32
2020-06-07 00:07:13,213.80,0.00,0.00,2.32
2020-06-07 00:12:15,214.20,0.00,0.00,2.32
2020-06-07 00:17:17,213.40,0.00,0.00,2.32
2020-06-07 00:22:19,215.10,0.00,0.00,2.32
2020-06-07 00:27:21,214.40,0.00,0.00,2.32
2020-06-07 00:32:23,213.60,0.00,0.00,2.32
2020-06-07 00:37:24,215.50,0.00,0.00,2.32
2020-06-07 00:42:26,215.60,0.00,0.00,2.32
2020-06-07 00:47:28,216.40,0.00,0.00,2.32
2020-06-07 00:52:30,214.10,0.00,0.00,2.32
2020-06-07 00:57:32,213.50,0.00,0.00,2.32
2020-06-07 01:02:34,213.90,0.00,0.00,2.32
2020-06-07 01:07:35,215.70,0.00,0.00,2.32
2020-06-07 01:12:37,215.60,0.00,0.00,2.32
2020-06-07 01:17:39,215.30,0.00,0.00,2.32
2020-06-07 01:22:41,215.00,0.00,0.00,2.32
2020-06-07 01:27:43,215.70,0.00,0.00,2.32
2020-06-07 01:32:45,217.40,0.00,0.00,2.32
2020-06-07 01:37:46,214.70,0.00,0.00,2.32
2020-06-07 01:42:48,217.40,0.00,0.00,2.32
2020-06-07 01:47:50,214.60,0.00,0.00,2.32
2020-06-07 01:52:52,217.50,0.00,0.00,2.32
2020-06-07 01:57:54,217.20,0.00,0.00,2.32
2020-06-07 02:02:55,217.90,0.00,0.00,2.32
2020-06-07 02:07:57,219.10,0.00,0.00,2.32
2020-06-07 02:12:59,220.20,0.00,0.00,2.32
2020-06-07 02:18:01,219.70,0.00,0.00,2.32
2020-06-07 02:23:03,219.90,0.00,0.00,2.32
2020-06-07 02:28:05,219.60,0.00,0.00,2.32
2020-06-07 02:33:06,218.30,0.00,0.00,2.32
2020-06-07 02:38:08,219.90,0.00,0.00,2.32
2020-06-07 02:43:10,219.20,0.00,0.00,2.32
2020-06-07 02:48:12,219.10,0.00,0.00,2.32
2020-06-07 02:53:14,218.80,0.00,0.00,2.32
2020-06-07 02:58:16,218.80,0.00,0.00,2.32
2020-06-07 03:03:17,219.30,0.00,0.00,2.32
2020-06-07 03:08:19,221.90,0.00,0.00,2.32
2020-06-07 03:13:21,221.50,0.00,0.00,2.32
2020-06-07 03:18:23,222.40,0.00,0.00,2.32
2020-06-07 03:23:25,220.50,0.00,0.00,2.32
2020-06-07 03:28:26,220.40,0.00,0.00,2.32
2020-06-07 03:33:28,220.50,0.00,0.00,2.32
2020-06-07 03:38:30,220.60,0.00,0.00,2.32
2020-06-07 03:43:32,220.50,0.00,0.00,2.32
2020-06-07 03:48:34,222.40,0.00,0.00,2.32
2020-06-07 03:53:35,221.70,0.00,0.00,2.32
2020-06-07 03:58:37,222.00,0.00,0.00,2.32
2020-06-07 04:03:39,220.70,0.00,0.00,2.32
2020-06-07 04:08:41,220.70,0.00,0.00,2.32
2020-06-07 04:13:43,220.90,0.00,0.00,2.32
2020-06-07 04:18:45,222.20,0.00,0.00,2.32
2020-06-07 04:23:46,220.90,0.00,0.00,2.32
2020-06-07 04:28:48,222.20,0.00,0.00,2.32
2020-06-07 04:33:50,221.40,0.00,0.00,2.32
2020-06-07 04:38:52,220.10,0.00,0.00,2.32
2020-06-07 04:43:54,220.30,0.00,0.00,2.32
2020-06-07 04:48:56,221.50,0.00,0.00,2.32
2020-06-07 04:53:57,219.90,0.00,0.00,2.32
2020-06-07 04:58:59,220.60,0.00,0.00,2.32
2020-06-07 05:04:01,219.90,0.00,0.00,2.32
2020-06-07 05:09:03,219.30,0.00,0.00,2.32
2020-06-07 05:14:05,218.90,0.00,0.00,2.32
2020-06-07 05:19:06,219.40,0.00,0.00,2.32
2020-06-07 05:24:08,220.50,0.00,0.00,2.32
2020-06-07 05:29:10,221.10,0.00,0.00,2.32
2020-06-07 05:34:12,221.20,0.00,0.00,2.32
2020-06-07 05:39:14,220.60,0.00,0.00,2.32
2020-06-07 05:44:15,219.90,0.00,0.00,2.32
2020-06-07 05:49:17,222.20,0.00,0.00,2.32
2020-06-07 05:54:19,223.20,0.00,0.00,2.32
2020-06-07 05:59:21,224.30,0.00,0.00,2.32
2020-06-07 06:04:23,224.30,0.00,0.00,2.32
2020-06-07 06:09:24,224.60,0.00,0.00,2.32
2020-06-07 06:14:26,224.60,0.00,0.00,2.32
2020-06-07 06:19:28,225.00,0.00,0.00,2.32
2020-06-07 06:24:30,224.70,0.00,0.00,2.32
2020-06-07 06:29:32,225.10,0.00,0.00,2.32
2020-06-07 06:34:34,225.60,0.00,0.00,2.32
2020-06-07 06:39:36,225.00,0.00,0.00,2.32
2020-06-07 06:44:37,225.50,0.00,0.00,2.32
2020-06-07 06:49:39,224.90,0.00,0.00,2.32
2020-06-07 06:54:41,225.80,0.00,0.00,2.32
2020-06-07 06:59:43,224.70,0.00,0.00,2.32
2020-06-07 07:04:45,223.70,0.00,0.00,2.32
2020-06-07 07:09:46,222.30,0.00,0.00,2.32
2020-06-07 07:14:48,222.60,0.00,0.00,2.32
2020-06-07 07:19:50,223.30,0.00,0.00,2.32
2020-06-07 07:24:52,223.80,0.00,0.00,2.32
2020-06-07 07:29:53,223.70,0.00,0.00,2.32
2020-06-07 07:34:55,224.00,0.00,0.00,2.32
2020-06-07 07:39:57,222.80,0.00,0.00,2.32
2020-06-07 07:44:59,222.40,0.00,0.00,2.32
2020-06-07 07:50:01,221.50,0.00,0.00,2.32
2020-06-07 07:55:03,223.30,0.00,0.00,2.32
2020-06-07 08:00:05,224.20,0.00,0.00,2.32
2020-06-07 08:05:07,222.20,0.00,0.00,2.32
2020-06-07 08:10:09,223.60,0.00,0.00,2.32
2020-06-07 08:15:11,223.10,0.00,0.00,2.32
